index,disease_name,supplement name,supplement image,buy link
68,Cucumber___Downy_mildew_alternative,Katyayani Dithane M-45 Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRv0KbdyA3C3H1HnK6SxafY8KB7cSJW0WnuhwvPTx1HVrPJP_CBxT8Rlnt3eTq2gF_gyJ35JMTTdNXH-TI3Cza6cTAPW2r0_yShWXInJ6P5EjXpJlxQGmdrlPl9g&usqp=CAE,https://agribegri.com/products/buy-dithane-m-45-fungicide-online-india--buy-fungicide-online-.php
69,Eggplant___Verticillium_wilt_alternative,Katyayani Bavistin Carbendazim 50% WP,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRXpYY96pN2L74ADXbPrjCYi7q96IQ2ZzBPifJ1w2AjfSlQqF7aQ3T4odNt6dBBRRZv_5P_2BEXsH9B54d2uH5vOlz3lkjC0Dk2-5w4l1m9R6VawUjHLKXg7Y1w&usqp=CAE,https://agribegri.com/products/buy-carbendazim-50-wp-online--bayer-bavistin-price.php
70,Lettuce___Bottom_rot_alternative,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTkukSnS0bK_Ty3tSwZ52rBnfULsxPkRgSO-l41V49-jKCAHwryso0m_ZjP8h6o8op7UfIZIhV2n0XJhOjmS2kjwKK2FcEXvC5W7HEbFvJqlXy_xB6bPcKPLqA&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
71,Onion___Purple_blotch_alternative,Bayer Nativo 75WG Fungicide,https://m.media-amazon.com/images/I/61s8VAPDpkL._SL1000_.jpg,https://www.amazon.in/Bayer-Nativo-75WG-Fungicide-Trifloxystrobin/dp/B07JHQVG5M
72,Spinach___White_rust_alternative,Katyayani Indofil M-45 Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR9iHSwAFZ3H-iqIAwGlIO8hPjXUcbr0q3YEmc3ijSrpNfzawld8v8S5Cmw5Y6Tj6n8GY1lC9iT8UOrKox7JauKVtNQ8dOsLd_SV3Ih3jX24aZhm5Z09LaybNZ&usqp=CAE,https://agribegri.com/products/buy-indofil-m-45-fungicide-online--dithane-m-45-price-in-india-.php
73,Wheat___Leaf_rust_alternative,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQwQQ-nnNxHfW8FjJNqMVe6D-xGEMZt9bG1ZzOJ8uI5PwU9lmT5J04C8J73NNl7X57WPlB3YtFrSw6pIjZ5O-ZGYIDJgXamHkW_kfYvYLYjGvyNZzD2ZOWmjNtHw&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
74,Rice___Blast_alternative,Katyayani Bavistin Carbendazim 50% WP,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRZnUDRcvpt85rSB2YKKztI3NhnMndXfJpD4NWR70yU5VUtnx0_XyYk7WtTVKAYe0QJ8hR1RgK0WpqeuaEBNAk8vyFfHd-WS5BNrK-7YSSylD1ZODJ0V2gp8rS&usqp=CAE,https://agribegri.com/products/buy-carbendazim-50-wp-online--bayer-bavistin-price.php
75,Bean___Anthracnose_alternative,Katyayani Indofil M-45 Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQtSLnO0p1Mnx7v2W_bbD2Hrhp8QY4N9nWqHeGGY2qqewTJB6RLnn7F7QQG1nF9L8tI8dZOMcRPhQ8mJk3mO4NJzYxZOTVKEq88lV3yq7cHX5INiVY6xHCPTlF6g&usqp=CAE,https://agribegri.com/products/buy-indofil-m-45-fungicide-online--dithane-m-45-price-in-india-.php
76,Carrot___Alternaria_leaf_blight_alternative,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ9O-wIh9cjdUj3fV4fRjxJNuz8dtkYj-MEfC18FswYheH1Ej3JZ5Ar3Kb5O_qAQ_erVRGRHp8JROIlDqlE60Ny-8ANjAGm4Qob_qyL9Ac2M9gqhq9g7g3cmPucA&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
77,Cotton___Fusarium_wilt_alternative,Katyayani Bavistin Carbendazim 50% WP,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTEeCg4eGX2kFIJgUubJk6vL_r82bZpHUo6ibnZtAvQxPYv6yNnyOF9ayJbyllFqMgrIWe-Ye8G-XphEfjXpXwDcYh-GCJV2AfK_v5BvOxWHmJw6dw1JtA2a8-7&usqp=CAE,https://agribegri.com/products/buy-carbendazim-50-wp-online--bayer-bavistin-price.php
78,Sunflower___Downy_mildew_alternative,Bayer Nativo 75WG Fungicide,https://m.media-amazon.com/images/I/61s8VAPDpkL._SL1000_.jpg,https://www.amazon.in/Bayer-Nativo-75WG-Fungicide-Trifloxystrobin/dp/B07JHQVG5M
79,All_Purpose_Organic_Fungicide,Neem Oil Based Organic Fungicide,https://cdn.shopify.com/s/files/1/1489/8850/products/Neem_Oil-1_869x869.jpg?v=1583399292,https://www.casagardenshop.com/products/neem-oil-for-plants-insecticide-pesticide-fungicide-for-garden-plants-by-casa-de-amor-100-ml?variant=32113234395291
80,All_Purpose_Organic_Fertilizer,Vermicompost Organic Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Vermicompost-1_869x869.jpg?v=1583399361,https://www.casagardenshop.com/products/vermicompost-organic-fertilizer-for-gardening-by-casa-de-amor-5-kg?variant=32113251074235
81,General_Plant_Growth_Promoter,Seaweed Extract Plant Tonic,https://cdn.shopify.com/s/files/1/1489/8850/products/Seaweed_Extract-1_869x869.jpg?v=1583399426,https://www.casagardenshop.com/products/seaweed-extract-plant-tonic-for-all-plants-gardening-by-casa-de-amor-250-ml?variant=32113258545211
82,General_Insecticide,Neemastra Organic Insecticide,https://cdn.shopify.com/s/files/1/1489/8850/products/Neemastra-1_869x869.jpg?v=1583399215,https://www.casagardenshop.com/products/neemastra-organic-insecticide-for-plants-by-casa-de-amor-250-ml?variant=32113228103867
83,General_Micronutrient_Booster,Micro Nutrient Mix for Plants,https://cdn.shopify.com/s/files/1/1489/8850/products/Micro_Nutrients-1_869x869.jpg?v=1583399165,https://www.casagardenshop.com/products/micro-nutrients-fertilizer-for-plants-gardening-by-casa-de-amor-100-gm?variant=32113221370075
